chebi_id,name,definition
class_262,aromatic carboxylic acid,Any carboxylic acid in which the carboxy group is directly bonded to an aromatic ring.
class_263,bromine molecular entity,
class_264,primary amino compound,A compound formally derived from ammonia by replacing one hydrogen atom by an organyl group.
class_265,sulfuric ester,An ester of an alcohol and sulfuric acid.
class_266,terpene,A hydrocarbon of biological origin having carbon skeleton formally derived from isoprene [CH<small><sub>2</sub></small>=C(CH<small><sub>3</sub></small>)CH=CH<small><sub>2</sub></small>].
class_267,C-nitro compound,A nitro compound having the nitro group (‒NO<small><sub>2</sub></small>) attached to a carbon atom.
class_268,aldose phosphate,
class_269,sulfide,Any sulfur molecular entity that involves either covalently bonded or anionic sulfur.
class_270,hydroxyflavone,Any flavone in which one or more ring hydrogens are replaced by hydroxy groups.
class_271,sodium molecular entity,
class_272,trisaccharide derivative,An oligosaccharide derivative that is formally obtained from a trisaccharide.
class_273,organic sulfide,Compounds having the structure RSR (R ≠ H). Such compounds were once called thioethers.
class_274,sodium salt,Any alkali metal salt having sodium(1+) as the cation.
class_275,monosaccharide,"Parent monosaccharides are polyhydroxy aldehydes H[CH(OH)]<small><sub><em>n</em></sub></small>C(=O)H or polyhydroxy ketones H‒[CHOH]<small><sub><em>n</em></sub></small>‒C(=O)[CHOH]<small><sub><em>m</em></sub></small>‒H with three or more carbon atoms. The generic term 'monosaccharide' (as opposed to oligosaccharide or polysaccharide) denotes a single unit, without glycosidic connection to other such units. It includes aldoses, dialdoses, aldoketoses, ketoses and diketoses, as well as deoxy sugars, provided that the parent compound has a (potential) carbonyl group."
class_276,amino sugar,Any sugar having one or more alcoholic hydroxy groups replaced by substituted or unsubstituted amino groups.
class_277,fatty acyl-CoA(4-),An acyl-CoA(4−) arising from deprotonation of the phosphate and diphosphate OH groups of any fatty acyl-CoA; major species at pH 7.3.
class_278,hydrochloride,A salt formally resulting from the reaction of hydrochloric acid with an organic base.
class_279,carbotricyclic compound,A carbopolyclic compound comprising of three carbocyclic rings.
class_280,organic heterotetracyclic compound,
class_281,furans,Compounds containing at least one furan ring.
class_282,nucleotide,A nucleotide is a nucleoside phosphate resulting from the condensation of the 3 or 5 hydroxy group of a nucleoside with phosphoric acid.
class_283,quinone,"Compounds having a fully conjugated cyclic dione structure, such as that of benzoquinones, derived from aromatic compounds by conversion of an even number of ‒CH= groups into ‒C(=O)‒ groups with any necessary rearrangement of double bonds (polycyclic and heterocyclic analogues are included)."
class_284,pentose derivative,A monosaccharide derivative that is formally obtained from a pentose.
class_285,anionic phospholipid,"Any organophosphate oxoanion that is a negatively charged phospholipid, e.g. phosphatidylserine(1−), phosphatidate(2−), phosphatidylglycerol(1−)."
class_286,N-glycosyl compound,"A glycosyl compound arising formally from the elimination of water from a glycosidic hydroxy group and an H atom bound to a nitrogen atom, thus creating a C-N bond."
class_287,piperidines,
class_288,"alpha,beta-unsaturated monocarboxylic acid",A monocarboxylic acid in which the carbon of the carboxy group is directly attached to a C=C or C≡C bond.
class_289,3-oxo steroid,Any oxo steroid where an oxo substituent is located at position 3.
class_290,glycerophosphocholine,The glycerol phosphate ester of a phosphocholine. A nutrient with many different roles in human health.
class_291,pentose phosphate,Any phospho sugar that is the phosphate derivative of pentose.
class_292,organic sodium salt,
class_293,aldopentose phosphate,
class_294,amino-acid zwitterion,The zwitterionic form of an amino acid having a negatively charged carboxyl group and a positively charged amino group.
class_295,carboxylic acid dianion,Any dianion containing at least one carboxy group.
class_296,benzoic acids,Any aromatic carboxylic acid that consists of benzene in which at least a single hydrogen has been substituted by a carboxy group.
class_297,dicarboxylic acid dianion,A carboxylic acid dianion obtained by deprotonation of both carboxy groups of any dicarboxylic acid.
class_298,disaccharide,A compound in which two monosaccharides are joined by a glycosidic bond.
class_299,organobromine compound,A compound containing at least one carbon-bromine bond.
class_300,polyunsaturated fatty acid anion,Any unsaturated fatty acid anion containing more than one C-C unsaturated bond.  Major species at pH 7.3.
class_301,cyanides,"Salts and <em>C</em>-organyl derivatives of hydrogen cyanide, HC≡N."
class_302,volatile organic compound,Any organic compound having an initial boiling point less than or equal to 250 °C (482 °F) measured at a standard atmospheric pressure of 101.3 kPa.
class_303,L-alpha-amino acid,Any α-amino acid having <small>L</small>-configuration at the α-carbon.
class_304,nitrile,"A compound having the structure RC≡N; thus a <em>C</em>-substituted derivative of hydrocyanic acid, HC≡N. In systematic nomenclature, the suffix nitrile denotes the triply bound ≡N atom, not the carbon atom attached to it."
class_305,aromatic ester,An ester where the ester linkage is bonded directly to an aromatic system.
class_306,monomethoxybenzene,Compounds containing a benzene skeleton substituted with one methoxy group.
class_307,icosanoid,"Any member of the group of signalling molecules arising from oxidation of the three C<small><sub>20</sub></small> essential fatty acids (EFAs) icosapentaenoic acid (EPA), arachidonic acid (AA) and dihomo-gamma-linolenic acid (DGLA)."
class_308,3beta-hydroxy steroid,A 3-hydroxy steroid in which the 3-hydroxy substituent is in the  β-position.
class_309,hydroxy fatty acid anion,"The conjugate base of any hydroxy fatty acid, formed by deprotonation of the carboxylic acid moiety."
class_310,alicyclic ketone,"A cyclic ketone in which the carbocyclic ring structure which may be saturated or unsaturated, but may not be a benzenoid or other aromatic system."
class_311,organic heteropentacyclic compound,
class_312,dichlorobenzene,Any member of the class of chlorobenzenes carrying two chloro groups at unspecified positions.
class_313,aliphatic compound,"Any acyclic or cyclic, saturated or unsaturated carbon compound, excluding aromatic compounds."
class_314,oxo monocarboxylic acid,Any monocarboxylic acid having at least one additional oxo functional group.
class_315,"alpha,beta-unsaturated carboxylic ester","A carboxylic ester of general formula R<small><sup>1</small></sup>R<small><sup>2</small></sup>C=CR<small><sup>3</small></sup>‒C(=O)OR<small><sup>4</small></sup> (R<small><sup>4</small></sup> ≠ H) or R<small><sup>1</small></sup>C≡C‒C(=O)OR<small><sup>2</small></sup> (R<small><sup>2</small></sup> ≠ H) in which the ester C=O function is conjugated to an unsaturated C-C bond at the α,β position."
class_316,straight-chain fatty acid,Any fatty acid whose skeletal carbon atoms form an unbranched open chain.
class_317,unsaturated fatty acyl-CoA,A fatty acyl-CoA that results from the formal condensation of the thiol group of coenzyme A with the carboxy group of any unsaturated fatty acid.
class_318,non-proteinogenic L-alpha-amino acid,Any <small>L</small>-α-amino acid which is not a member of the group of 23 proteinogenic amino acids.
class_319,tetrasaccharide derivative,An oligosaccharide derivative that is formally obtained from a tetrasaccharide.
class_320,enoate ester,"An α,β-unsaturated carboxylic ester of general formula R<small><sup>1</small></sup>R<small><sup>2</small></sup>C=CR<small><sup>3</small></sup>‒C(=O)OR<small><sup>4</small></sup> (R<small><sup>4</small></sup> ≠ H) in which the ester C=O function is conjugated to a C=C double bond at the α,β position."
class_321,pentacyclic triterpenoid,
class_322,glycosphingolipid,A glycosphingolipid is a glycolipid that is a carbohydrate-containing derivative of a sphingoid or ceramide. It is understood that the carbohydrate residue is attached by a glycosidic linkage to O-1 of the sphingoid.
class_323,triol,A chemical compound containing three hydroxy groups.
class_324,flavans,"Any flavonoid with a 3,4-dihydro-2-aryl-2<em>H</em>-1-benzopyran skeleton and its substituted derivatives."
class_325,naphthalenes,Any benzenoid aromatic compound having a skeleton composed of two <em>ortho</em>-fused benzene rings.
class_326,amino disaccharide,A disaccharide derivative that is a disaccharide having one or more substituted or unsubstituted amino groups in place of hydroxy groups at unspecified positions.
class_327,indole alkaloid,An alkaloid containing an indole skeleton.
class_328,bridged compound,A polycyclic compound that contains more than one ring with at least two common atoms (also known as bridgehead carbons) that are not adjacent to each other.
class_329,macromolecule,"A macromolecule is a molecule of high relative molecular mass, the structure of which essentially comprises the multiple repetition of units derived, actually or conceptually, from molecules of low relative molecular mass."
class_330,amino trisaccharide,An amino oligosaccharide that is a trisaccharide having one or more substituted or unsubstituted amino groups in place of hydroxy groups at unspecified positions.
class_331,pyrrolidines,Any of a class of heterocyclic amines having a saturated five-membered ring.
class_332,monoterpenoid,Any terpenoid derived from a monoterpene. The term includes compounds in which the C<small><sub>10</sub></small> skeleton of the parent monoterpene has been rearranged or modified by the removal of one or more skeletal atoms (generally methyl groups).
class_333,aliphatic alcohol,An  alcohol derived from an aliphatic compound.
class_334,ureas,
class_335,ring assembly,Two or more cyclic systems (single rings or fused systems) which are directly joined to each other by double or single bonds are named ring assemblies when the number of such direct ring junctions is one less than the number of cyclic systems involved.
class_336,benzoate ester,Esters of benzoic acid or substituted benzoic acids.
class_337,oxo carboxylic acid anion,Any carboxylic acid anion containing at least one oxo group.
class_338,polypyrrole,A compound composed of two or more pyrrole units.
class_339,amino-acid anion,
class_340,delta-lactone,A lactone having a six-membered lactone ring.
class_341,olefin,"Acyclic and cyclic hydrocarbons having one or more carbon-carbon double bonds, apart from the formal ones in aromatic compounds. The class olefins subsumes alkenes and cycloalkenes and the corresponding polyenes."
class_342,imidazoles,"A five-membered organic heterocycle containing two nitrogen atoms at positions 1 and 3, or any of its derivatives; compounds containing an imidazole skeleton."
class_343,amine,"A compound formally derived from ammonia by replacing one, two or three hydrogen atoms by hydrocarbyl groups."
class_344,ribose phosphate,
class_345,chalcogen oxoanion,
class_346,elemental molecular entity,A molecular entity all atoms of which have the same atomic number.
class_347,fatty alcohol,An aliphatic alcohol consisting of a chain of 3 to greater than 27 carbon atoms. Fatty alcohols may be saturated or unsaturated and may be branched or unbranched.
class_348,cyclic hydrocarbon,
class_349,N-acylsphingoid,A ceramide consisting of an undefined sphingoid base linked to an undefined fatty acid via an amide bond.
class_350,fluorobenzenes,Any fluoroarene that is a benzene or a substituted benzene carrying at least one fluoro group.
class_351,glyceride,"Any ester resulting from the condensation of one or more of the hydroxy groups of glycerol (propane-1,2,3-triol) with fatty acids."
class_352,olefinic fatty acid,Any fatty acid containing at least one C=C double bond.
class_353,trisaccharide,
class_354,catechols,Any compound containing an <em>o</em>-diphenol component.
class_355,carbohydrate sulfate,
class_356,sulfonamide,An amide of a sulfonic acid RS(=O)<small><sub>2</sub></small>NR'<small><sub>2</sub></small>.
class_357,sulfur oxoanion,
class_358,deoxy hexoside,
class_359,saponin,A glycoside that is a compound containing one or more hydrophilic glycoside moieties combined with a lipophilic triterpenoid or steroid derivative. Found in particular abundance in plant species.
class_360,organosulfonic acid,An organic derivative of sulfonic acid in which the sulfo group is linked directly to carbon.
class_361,piperazines,
class_362,macrocyclic lactone,Any lactone in which the cyclic carboxylic ester group forms a part of a cyclic macromolecule.
class_363,heterocyclic antibiotic,
class_364,quinolines,A class of aromatic heterocyclic compounds each of which contains a benzene ring <em>ortho</em> fused to carbons 2 and 3 of a pyridine ring.
class_365,inorganic ion,
class_366,atom,A chemical entity constituting the smallest component of an element having the chemical properties of the element.
class_367,hydroxy polyunsaturated fatty acid,Any polyunsaturated fatty acid carrying one or more hydroxy substituents.
class_368,icosanoid anion,"The carboxylic acid anion that is the conjugate base of an icosanoid, formed when the carboxy group is deprotonated."
class_369,3-oxo-Delta(4) steroid,"A 3-oxo steroid conjugated to a C=C double bond at the α,β position."
class_370,nucleotide conjugate,
class_371,biaryl,"An organic aromatic compound whose structure contains two aromatic rings or ring systems, joined to each other by a single bond."
class_372,alpha-amino-acid anion,An amino-acid anion obtained by deprotonation of any α-amino acid.
class_373,tetrahydrofuranol,
class_374,anilines,Any  aromatic amine that is benzene carrying at least one amino substituent and its substituted derivatives.
class_375,aldose,"Aldehydic parent sugars (polyhydroxy aldehydes H[CH(OH)]<small><sub><em>n</em></sub></small>C(=O)H, <em>n</em> ≥ 2) and their intramolecular hemiacetals."
class_376,carbamate ester,Any ester of carbamic acid or its <em>N</em>-substituted derivatives.
class_377,organonitrogen heterocyclic antibiotic,
class_378,oxo monocarboxylic acid anion,
class_379,tetrapyrrole,A natural pigment containing four pyrrole rings joined by one-carbon units linking position 2 of one pyrrole ring to position 5 of the next.
class_380,carbohydrate acid derivative,A carbohydrate derivative that is formally obtained from a carbohydrate acid.
class_381,nucleotide-carbohydrate,
class_382,substituted aniline,
class_383,alditol derivative,A carbohydrate derivative that is formally obtained from an alditol.
class_384,amino alcohol,An alcohol containing an amino functional group in addition to the alcohol-defining hydroxy group.
class_385,arenecarboxamide,A monocarboxylic acid amide in which the amide linkage is bonded directly to an arene ring system.
class_386,monounsaturated fatty acid,"Any fatty acid with one double or triple bond in the fatty acid chain and singly bonded carbon atoms in the rest of the chain. MUFAs have positive effects on the cardiovascular system, and in diabetes treatment."
class_387,spiro compound,A compound having one atom as the only common member of two rings.
class_388,allylic alcohol,"An alcohol where the hydroxy group is attached to a saturated carbon atom adjacent to a double bond (R groups may be H, organyl, etc.)."
class_389,flavanones,"Members of the class of flavans with a 3,4-dihydro-2-aryl-2<em>H</em>-1-benzopyran-4-one skeleton and its substituted derivatives."
class_390,nucleotide-sugar,
class_391,benzamides,
class_392,tertiary alpha-hydroxy ketone,An α-hydroxy ketone in which the carbonyl group and the hydroxy group are linked by a carbon bearing two organyl groups.
class_393,N-acyl-amino acid,A carboxamide resulting from the formal condensation of a carboxylic acid with the amino group of an amino acid.
class_394,pyrazoles,
class_395,17-hydroxy steroid,A hydroxy steroid carrying a hydroxy group at position 17.
class_396,hexose,Any six-carbon monosaccharide which in its linear form contains either an aldehyde group at position 1 (aldohexose) or a ketone group at position 2 (ketohexose).
class_397,ribonucleotide,
class_398,galactosamine oligosaccharide,
class_399,nucleotide-sugar oxoanion,Any nucleotide-sugar in which one or more of the diphosphate OH groups has been deprotonated.
class_400,amino tetrasaccharide,A tetrasaccharide derivative having one or more substituted or unsubstituted amino groups in place of hydroxy groups at unspecified positions.
class_401,ammonium compound,"Compounds (NH<small><sub>4</sub></small><small><sup>+</small></sup>)Y<small><sup>−</small></sup> and derivatives, in which one or more of the hydrogens bonded to nitrogen have been replaced with univalent groups."
class_402,addition compound,An addition compound contains two or more simpler compounds that can be packed in a definite ratio into a crystal. The term covers donor-acceptor complexes (adducts) and a variety of lattice compounds.
class_403,terpene glycoside,A terpenoid in which one or more hydroxy functions are glycosylated.
class_404,purine nucleotide,Any nucleotide that has a purine nucleobase.
class_405,terpene lactone,
class_406,mononucleotide,
class_407,cyclopropanes,Cyclopropane and its derivatives formed by substitution.
class_408,hydrate,An addition compound that contains water in weak chemical combination with another compound.
class_409,organosulfonate oxoanion,An organic anion obtained by deprotonation of the sufonate group(s) of any organosulfonic acid.
class_410,phenylalanine derivative,"An amino acid derivative resulting from reaction of alanine at the amino group or the carboxy group, or from the replacement of any hydrogen of phenylalanine  by a heteroatom. The definition normally excludes peptides containing phenylalanine  residues."
class_411,phosphosphingolipid,
class_412,nucleoside,"An <em>N</em>-glycosyl compound that has both a nucleobase, normally adenine, guanine, xanthine, thymine, cytosine or uracil, and either a ribose or deoxyribose as functional parents."
class_413,p-quinones,A quinone in which the two oxo groups of the quinone are located <em>para</em> to each other on the 6-membered quinonoid ring.
class_414,heterocyclic organic fundamental parent,
class_415,glycophospholipid,Any phospholipid that contain both phosphate and carbohydrate as integral structural components.
class_416,phosphatidylcholine,A glycerophosphocholine that is glycero-3-phosphocholine bearing two acyl substituents at positions 1 and 2.
class_417,carbohydrate acid derivative anion,A carboxylic acid anion resulting from the deprotonation of the carboxy group of a carbohydrate acid derivative.
class_418,hydroxyflavanone,A member of the class of flavanones that consists of flavanone with one or more hydroxy substituents.
class_419,dibenzopyran,Any organic heteropolycyclic compound based on a skeleton consisting of a pyran ring fused with two benzene rings.
class_420,"1,2-diacyl-sn-glycero-3-phosphocholine","The conjugate base of a 1,2-diacyl-<em>sn</em>-glycero-3-phosphocholine compound formed by deprotonation of the phosphate OH group."
class_421,isoprenoid phosphate,
class_422,xanthenes,
class_423,alkyl alcohol,An aliphatic alcohol in which the aliphatic alkane chain is substituted by a hydroxy group at unspecified position.
class_424,acenes,Polycyclic aromatic hydrocarbons consisting of fused benzene rings in a rectilinear arrangement and their substitution derivatives.
class_425,glycosyloxyflavone,A member of the class of flavones having one or more glycosyl residues attached at unspecified positions.
class_426,monofluorobenzenes,Any member of the class of fluorobenzenes containing a mono- or poly-substituted benzene ring carrying a single fluorine substitutent.
class_427,cyclic polypyrrole,
class_428,beta-lactam,"A lactam in which the amide bond is contained within a four-membered ring, which includes the amide nitrogen and the carbonyl carbon."
class_429,enol,"Alkenols; the term refers specifically to vinylic alcohols, which have the structure HOCR'=CR<small><sub>2</sub></small>. Enols are tautomeric with aldehydes (R' = H) or ketones (R' ≠ H)."
class_430,nucleoside 5'-phosphate,"A ribosyl or deoxyribosyl derivative of a pyrimidine or purine base in which C-5 of the ribose ring is mono-, di-, tri- or tetra-phosphorylated."
class_431,terpenyl phosphate,
class_432,chromenes,
class_433,sesquiterpene,A C<small><sub>15</sub></small> terpene.
class_434,alicyclic compound,"An aliphatic compound having a carbocyclic ring structure which may be saturated or unsaturated, but may not be a benzenoid or other aromatic system."
class_435,methyl ketone,A ketone of formula RC(=O)CH<small><sub>3</sub></small> (R ≠ H).
class_436,terpene ketone,Any terpenoid which contains a keto group.
class_437,radical,A molecular entity possessing an unpaired electron.
class_438,tripeptide,Any oligopeptide that consists of three amino-acid residues connected by peptide linkages.
class_439,ethyl ester,Any carboxylic ester resulting from the formal condensation of the carboxy group of a carboxylic acid with ethanol.
class_440,long-chain fatty acyl-CoA,A fatty acyl-CoA that results from the formal condensation of the thiol group of coenzyme A with the carboxy group of any long-chain (C<small><sub>13</sub></small> to C<small><sub>22</sub></small>) fatty acid.
class_441,neutral glycosphingolipid,Any glycosphingolipid containing unsubstituted glycosyl moieties.
class_442,isoquinoline alkaloid,Any alkaloid that has a structure based on an isoquinoline nucleus. They are derived from the amino acids like tyrosine and phenylalanine.
class_443,acetal,"An organooxygen compound having the structure RR'C(OR'')(OR''') (R'', R''' ≠ H). Mixed acetals have R'' and R''' groups which differ."
class_444,inorganic hydride,
class_445,secondary alpha-hydroxy ketone,"An α-hydroxy ketone in which the carbonyl group and the hydroxy group are linked by a carbon bearing one hydrogen and one organyl group. Secondary α-hydroxy ketones are also known as acyloins, and are formally derived from reductive coupling of two carboxylic acid groups."
class_446,boron group molecular entity,
class_447,pentasaccharide derivative,An oligosaccharide derivative that is formally obtained from a pentasaccharide.
class_448,oligosaccharide sulfate,Any  carbohydrate sulfate that is an oligosaccharide carrying at least one <em>O</em>-sulfo substituent.
class_449,cyclic tetrapyrrole,
class_450,cyclic terpene ketone,An alicyclic ketone in which the carbocyclic ring structure forms part of a terpene skeleton.
class_451,beta-lactam antibiotic,An organonitrogen heterocyclic antibiotic that contains a β-lactam ring.
class_452,iodine molecular entity,
class_453,methoxyflavone,Any member of the class of flavones with at least one methoxy substituent.
class_454,3-hydroxy carboxylic acid,Any hydroxy carboxylic acid which contains a hydroxy group located β- to the carboxylic acid group.
class_455,natural product fundamental parent,
class_456,thiazoles,An azole in which the five-membered heterocyclic aromatic skeleton contains a N atom and one S atom.
class_457,prenol phosphate,
class_458,acetylenic compound,Any organic molecule containing a C≡C bond.
class_459,macrolide,A macrocyclic lactone with a ring of twelve or more members derived from a polyketide.
class_460,organic tetracyclic compound,
class_461,polyprenol phosphate,A prenol phosphate resulting from the formal condensation of the terminal allylic hydroxy group of a polyprenol with 1 mol eq. of phosphoric acid.
class_462,monoatomic entity,A monoatomic entity is a molecular entity consisting of a single atom.
class_463,benzofurans,
class_464,inorganic salt,
class_465,pyrimidine nucleotide-sugar,A nucleotide-sugar whose nucleobase is a pyrimidine.
class_466,"1,3-thiazoles",
class_467,iron group molecular entity,
class_468,polyether,Any ether that contains more than one ether linkage.
class_469,triterpenoid saponin,A terpene glycoside in which the terpene moiety is a triterpenoid.
class_470,organosulfate oxoanion,An organic anion of general formula RS(=O)2O(−) where R is an organyl group.
class_471,oxaspiro compound,A spiro compound in which at least one of the cyclic components is an oxygen heterocyle.
class_472,sterol,Any 3-hydroxy steroid whose skeleton is closely related to cholestan-3-ol (additional carbon atoms may be present in the side chain).
class_473,non-proteinogenic amino acid derivative,"Any derivative of a non-proteinogenic amino acid resulting from reaction at an amino group or carboxy group, or from the replacement of any hydrogen by a heteroatom."
class_474,chemical substance,"A chemical substance is a portion of matter of constant composition, composed of molecular entities of the same type or of different types."
class_475,aldohexose,A hexose with a (potential) aldehyde group at one end.
class_476,aminopyrimidine,A member of the class of  pyrimidines that is pyrimidine substituted by at least one amino group and its derivatives.
class_477,long-chain fatty acyl-CoA(4-),A fatty acyl-CoA(4−) arising from deprotonation of the phosphate and diphosphate OH groups of any long-chain fatty acyl-CoA; major species at pH 7.3.
class_478,organoammonium salt,
class_479,cyclitol,"A polyol consisting of a cycloalkane containing at least three hydroxy groups, each attached to a different ring carbon atom."
class_480,cyclic olefin,The inclusive term for any cyclic hydrocarbon having any number of double bonds.
class_481,metal atom,"An atom of an element that exhibits typical metallic properties, being typically shiny, with high electrical and thermal conductivity."
class_482,resorcinols,Any benzenediol in which the two hydroxy groups are <em>meta</em> to one another.
class_483,hydroxyacyl-CoA,An acyl-CoA that results from the formal condensation of the thiol group of coenzyme A with the carboxy group of any hydroxycarboxylic acid.
class_484,tetracyclic triterpenoid,Any triterpenoid consisting of a tetracyclic skeleton.
class_485,cyclic peptide,
class_486,purine ribonucleotide,Any ribonucleotide that has a purine nucleobase.
class_487,triazoles,An azole in which the five-membered heterocyclic aromatic skeleton contains three N atoms and two C atoms.
class_488,steroid ester,
class_489,cinnamate ester,
class_490,guanidines,Any organonitrogen compound containing a carbamimidamido (guanidino) group. Guanidines have the general structure (R<small><sup>1</small></sup>R<small><sup>2</small></sup>N)(R<small><sup>3</small></sup>R<small><sup>4</small></sup>N)C=N-R<small><sup>5</small></sup> and are related structurally to amidines and ureas.
class_491,carbohydrate acid,
class_492,phosphoethanolamine,
class_493,20-oxo steroid,An oxo steroid carrying an oxo group at position 20.
class_494,medium-chain fatty acid,Any fatty acid with a chain length of between C<small><sub>6</sub></small> and C<small><sub>12</sub></small>.
class_495,ascaroside,Any glycoside derived from α-ascarylopyranose or its derivatives.
class_496,anthracenes,Compounds containing an anthracene skeleton.
class_497,nucleoside 5'-monophosphate,
class_498,biomacromolecule,A macromolecule formed by a living organism.
class_499,isoflavonoid,"Any 1-benzopyran with an aryl substituent at position 3. The term was originally restricted to natural products, but is now also used to describe semi-synthetic and fully synthetic compounds."
